Date,Fiscal_Year,Brand_Model,Metric_Type,Units
2021-07-01,2021-22,BAIC BJ40L ,Prod,6
2021-07-01,2021-22,BAIC BJ40L ,Sale,0
2021-08-01,2021-22,BAIC BJ40L ,Prod,6
2021-08-01,2021-22,BAIC BJ40L ,Sale,1
2021-09-01,2021-22,BAIC BJ40L ,Prod,14
2021-09-01,2021-22,BAIC BJ40L ,Sale,3
2021-10-01,2021-22,BAIC BJ40L ,Prod,9
2021-10-01,2021-22,BAIC BJ40L ,Sale,21
2021-11-01,2021-22,BAIC BJ40L ,Prod,1
2021-11-01,2021-22,BAIC BJ40L ,Sale,3
2021-12-01,2021-22,BAIC BJ40L ,Prod,0
2021-12-01,2021-22,BAIC BJ40L ,Sale,0
2022-01-01,2021-22,BAIC BJ40L ,Prod,7
2022-01-01,2021-22,BAIC BJ40L ,Sale,11
2022-02-01,2021-22,BAIC BJ40L ,Prod,42
2022-02-01,2021-22,BAIC BJ40L ,Sale,42
2022-03-01,2021-22,BAIC BJ40L ,Prod,73
2022-03-01,2021-22,BAIC BJ40L ,Sale,71
2022-04-01,2021-22,BAIC BJ40L ,Prod,112
2022-04-01,2021-22,BAIC BJ40L ,Sale,103
2022-05-01,2021-22,BAIC BJ40L ,Prod,83
2022-05-01,2021-22,BAIC BJ40L ,Sale,73
2022-06-01,2021-22,BAIC BJ40L ,Prod,91
2022-06-01,2021-22,BAIC BJ40L ,Sale,114
2022-07-01,2022-23,BAIC BJ40L ,Prod,23
2022-07-01,2022-23,BAIC BJ40L ,Sale,5
2022-08-01,2022-23,BAIC BJ40L ,Prod,16
2022-08-01,2022-23,BAIC BJ40L ,Sale,21
2022-09-01,2022-23,BAIC BJ40L ,Prod,24
2022-09-01,2022-23,BAIC BJ40L ,Sale,10
2022-10-01,2022-23,BAIC BJ40L ,Prod,5
2022-10-01,2022-23,BAIC BJ40L ,Sale,13
2022-11-01,2022-23,BAIC BJ40L ,Prod,1
2022-11-01,2022-23,BAIC BJ40L ,Sale,4
2022-12-01,2022-23,BAIC BJ40L ,Prod,20
2022-12-01,2022-23,BAIC BJ40L ,Sale,1
2023-01-01,2022-23,BAIC BJ40L ,Prod,11
2023-01-01,2022-23,BAIC BJ40L ,Sale,20
2023-02-01,2022-23,BAIC BJ40L ,Prod,2
2023-02-01,2022-23,BAIC BJ40L ,Sale,30
2023-03-01,2022-23,BAIC BJ40L ,Prod,17
2023-03-01,2022-23,BAIC BJ40L ,Sale,18
2023-04-01,2022-23,BAIC BJ40L ,Prod,40
2023-04-01,2022-23,BAIC BJ40L ,Sale,28
2023-05-01,2022-23,BAIC BJ40L ,Prod,4
2023-05-01,2022-23,BAIC BJ40L ,Sale,9
2023-06-01,2022-23,BAIC BJ40L ,Prod,28
2023-06-01,2022-23,BAIC BJ40L ,Sale,10
2023-07-01,2023-24,BAIC BJ40L ,Prod,0
2023-07-01,2023-24,BAIC BJ40L ,Sale,13
2023-08-01,2023-24,BAIC BJ40L ,Prod,0
2023-08-01,2023-24,BAIC BJ40L ,Sale,8
2023-09-01,2023-24,BAIC BJ40L ,Prod,0
2023-09-01,2023-24,BAIC BJ40L ,Sale,2
2023-10-01,2023-24,BAIC BJ40L ,Prod,0
2023-10-01,2023-24,BAIC BJ40L ,Sale,1
2023-11-01,2023-24,BAIC BJ40L ,Prod,0
2023-11-01,2023-24,BAIC BJ40L ,Sale,0
2023-12-01,2023-24,BAIC BJ40L ,Prod,3
2023-12-01,2023-24,BAIC BJ40L ,Sale,2
2024-01-01,2023-24,BAIC BJ40L ,Prod,1
2024-01-01,2023-24,BAIC BJ40L ,Sale,1
2024-02-01,2023-24,BAIC BJ40L ,Prod,9
2024-02-01,2023-24,BAIC BJ40L ,Sale,7
2024-03-01,2023-24,BAIC BJ40L ,Prod,0
2024-03-01,2023-24,BAIC BJ40L ,Sale,2
2024-04-01,2023-24,BAIC BJ40L ,Prod,7
2024-04-01,2023-24,BAIC BJ40L ,Sale,7
2024-05-01,2023-24,BAIC BJ40L ,Prod,2
2024-05-01,2023-24,BAIC BJ40L ,Sale,1
2024-06-01,2023-24,BAIC BJ40L ,Prod,22
2024-06-01,2023-24,BAIC BJ40L ,Sale,11
2024-07-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,0
2024-07-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,1
2024-08-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,0
2024-08-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,4
2024-09-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,0
2024-09-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,3
2024-10-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,0
2024-10-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,3
2024-11-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,0
2024-11-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,0
2024-12-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,0
2024-12-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,0
2025-01-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,35
2025-01-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,15
2025-02-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,0
2025-02-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,6
2025-03-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,6
2025-03-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,3
2025-04-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,29
2025-04-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,10
2025-05-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,0
2025-05-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,4
2025-06-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,0
2025-06-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,8
2021-07-01,2021-22,BAIC D20,Prod,2
2021-07-01,2021-22,BAIC D20,Sale,0
2021-08-01,2021-22,BAIC D20,Prod,0
2021-08-01,2021-22,BAIC D20,Sale,0
2021-09-01,2021-22,BAIC D20,Prod,0
2021-09-01,2021-22,BAIC D20,Sale,0
2021-10-01,2021-22,BAIC D20,Prod,0
2021-10-01,2021-22,BAIC D20,Sale,0
2021-11-01,2021-22,BAIC D20,Prod,2
2021-11-01,2021-22,BAIC D20,Sale,0
